MeanFitness, StdFitness, MaxFitness
0.77,0.01,0.81
0.78,0.01,0.81
0.78,0.01,0.82
0.79,0.01,0.82
0.79,0.01,0.82
0.80,0.01,0.83
0.80,0.01,0.83
0.80,0.01,0.83
0.81,0.01,0.83
0.81,0.01,0.84
0.81,0.01,0.84
0.81,0.01,0.84
0.82,0.01,0.84
0.82,0.01,0.85
0.82,0.01,0.85
0.82,0.01,0.86
0.82,0.01,0.86
0.82,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.86
0.83,0.01,0.87
0.84,0.01,0.87
0.84,0.01,0.87
0.84,0.01,0.87
0.84,0.01,0.87
0.84,0.01,0.87
0.84,0.01,0.87
0.84,0.01,0.87
0.85,0.01,0.87
0.85,0.01,0.87
0.85,0.01,0.88
0.85,0.01,0.88
0.85,0.01,0.88
0.85,0.01,0.88
0.85,0.01,0.88
0.85,0.01,0.88
0.85,0.01,0.88
0.85,0.01,0.88
0.85,0.01,0.88
0.85,0.01,0.88
0.85,0.01,0.88
0.86,0.01,0.88
0.86,0.01,0.89
0.86,0.01,0.89
0.86,0.01,0.89
0.86,0.01,0.89
0.86,0.01,0.89
0.86,0.01,0.89
0.86,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.86,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.89
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.90
0.87,0.01,0.91
0.87,0.01,0.91
0.88,0.01,0.91
0.87,0.01,0.91
0.87,0.01,0.91
0.87,0.01,0.91
0.87,0.01,0.91
0.87,0.01,0.91
0.88,0.01,0.91
0.88,0.01,0.91
0.87,0.01,0.91
0.87,0.01,0.91
